# CCONJ words ending in -que (excluding bare 'que')
# Format: word	count


digitoque	1
floresque	1
odorque	1
uirque	1
Simplicitasque	1
ciciusque	1
remque	1
necque	1
solitumque	1
sanctamque	1
Ordinibusque	1
grauiorque	1
rediuiuaque	1
leuiusque	1
instituatque	1
numerosaque	1
Materieque	1
Iuraque	1
proximiorque	1
tacitoque	1
oneratque	1
Dimidiumque	1
prudensque	1
Percipientque	1
terrueritque	1
fervorque	1
pastoribusque	1
Dilaceretque	1
Adventusque	1
diffugiuntque	1
praecipitoque	1
Brunettamque	1
moriorque	1
magnaque	1
Serpentisque	1
sarcinulisque	1
celerque	1
Murmuriique	1
degeneremque	1
mutique	1
Tresque	1
Extendensque	1
perdentque	1
Damnaturque	1
veniaque	1
Hospitiique	1
venietque	1
Comperiensque	1
Obruiturque	1
Diceturque	1
sarcinulasque	1
cupiensque	1
Obduxitque	1
gaudentque	1
conveniuntque	1
Indulgentque	1
Indutusque	1
Cantorisque	1
vinoque	1
calixque	1
crinesque	1
Laetitiaeque	1
sintque	1
favorque	1
praepediuntque	1
transque	1
pariatque	1
praecipiantque	1
carceribusque	1
vanoque	1
carnemque	1
viduisque	1
fertiliusque	1
laicosque	1
multiplicique	1
fractumque	1
Praeque	1
glaciesque	1
fideique	1
Influeretque	1
pariuntque	1
montesque	1
Posteriorque	1
diripiatque	1
venientque	1
Conventusque	1
sorbentque	1
susque	1
Interiusque	1
magnificentque	1
Iurabatque	1
Exciperetque	1
tacitusque	1
sustineatque	1
timideque	1
luimusque	1
Deficiuntque	1
vilemque	1
Hicque	1
praeficiturque	1
stultusque	1
vernaque	1
nunquamque	1
Instabantque	1
illicitisque	1
Arctaretque	1
possetque	1
Restantemque	1
ovesque	1
sanctusque	1
perpetiorque	1
principiumque	1
baculoque	1
porrigeretque	1
Corruerantque	1
Exactoque	1
viamque	1
poscitque	1
positoque	1
vimque	1
Texissetque	1
aliterque	1
faciasque	1
saepeque	1
Votaque	1
redolentque	1
Lapsaque	1
Lentaque	1
Augustaque	1
precepsque	1
Thuraque	1
odiique	1
spacioque	1
Alsaticusque	1
primoque	1
mentesque	1
enumeratque	1
stiloque	1
Maneque	1
permaneantque	1
Amisitque	1
Hebraiceque	1
Matusaelque	1
Seruabatque	1
organicisque	1
diluuioque	1
datusque	1
uiuentque	1
hecque	1
Iaphetque	1
geminasque	1
Lothque	1
Melchisedechque	1
sacrifexque	1
Huicque	1
Miraturque	1
Oblitamque	1
undenaque	1
Thamarque	1
Pharesque	1
tenetque	1
inibique	1
imperioque	1
Simeonque	1
finesque	1
uelutique	1
iaculoque	1
constituitque	1
Isaacque	1
Iacobque	1
titulosque	1
mannaque	1
Vicinique	1
temperiemque	1
Vrnaque	1
uirgaque	1
Cortinasque	1
tabulasque	1
splendorque	1
byssoque	1
munditiamque	1
exceditque	1
Sedauitque	1
Pentecostenque	1
capreque	1
cineresque	1
partimque	1
percalidamque	1
Patremque	1
cibusque	1
dinumeratque	1
Dathanque	1
perficiensque	1
Calephque	1
genitisque	1
intuituque	1
Occurritque	1
excidioque	1
perpetuoque	1
dimidieque	1
leuaque	1
suppliciumque	1
Abimelechque	1
Abimelecque	1
iubeatque	1
Maiorumque	1
significatque	1
Effraimque	1
stultitiamque	1
faciensque	1
Melchisueque	1
exitiumque	1
hymnidicisque	1
fiantque	1
Nathanque	1
aliasque	1
Proiciensque	1
lumenque	1
Dominique	1
meoque	1
laticemque	1
instituensque	1
Vxoresque	1
fertilitasque	1
duosque	1
demonibusque	1
foueatque	1
Attractusque	1
iecurque	1
Conseruatque	1
piaque	1
humilesque	1
discipulisque	1
uinoque	1
immortalisque	1
ecclesiaque	1
Discipulisque	1
Progressusque	1
direque	1
arripiantque	1
discipulique	1
progenieque	1
Saraque	1
titulumque	1
felque	1
surripiantque	1
instituuntque	1
muneribusque	1
consimilisque	1
Doctrineque	1
libroque	1
insinuatque	1
Effremque	1
Corque	1
Christusque	1
patiturque	1
innuiturque	1
Iacobusque	1
